,symbol,emoji,kline,alert_price,Time_(MSK)
0,ANTUSDT,💥💥💥,1 kline,alert price: 5.201,2023-11-09 18:51:52.578000
1,ANTUSDT,💥💥💥,1 kline,alert price: 5.201,2023-11-09 18:51:52.578000
2,PENDLEUSDT,💥💥💥,1 kline,alert price: 1.0423,2023-11-09 18:50:35.789000
3,PENDLEUSDT,💥💥💥,1 kline,alert price: 1.0423,2023-11-09 18:50:35.789000
4,YFIUSDT,💥💥💥,1 kline,alert price: 6868.0,2023-11-09 18:48:24.505000
5,YFIUSDT,💥💥💥,1 kline,alert price: 6868.0,2023-11-09 18:48:24.505000
6,ARBUSDT,💥💥💥,1 kline,alert price: 1.1455,2023-11-09 18:43:31.946000
7,ARBUSDT,💥💥💥,1 kline,alert price: 1.1455,2023-11-09 18:43:31.946000
8,LDOUSDT,💥💥💥,1 kline,alert price: 2.3181,2023-11-09 18:42:56.730000
9,LDOUSDT,💥💥💥,1 kline,alert price: 2.3181,2023-11-09 18:42:56.730000
10,ARKUSDT,💥💥💥,1 kline,alert price: 1.6073,2023-11-09 18:27:33.843000
11,DARUSDT,💥💥💥,1 kline,alert price: 0.1165,2023-11-09 18:24:35.867000
12,ARUSDT,💥💥💥,1 kline,alert price: 8.006,2023-11-09 18:23:54.181000
13,RADUSDT,💥💥💥,1 kline,alert price: 1.597,2023-11-09 18:17:22.552000
14,GLMRUSDT,💥💥💥,1 kline,alert price: 0.2747,2023-11-09 18:16:31.891000
15,ORDIUSDT,🌊🌊🌊,2 kline,alert price: 18.175,2023-11-09 18:12:35.891000
16,EDUUSDT,🌊🌊🌊,2 kline,alert price: 0.5638,2023-11-09 20:54:00.754000
17,EDUUSDT,🌊🌊🌊,2 kline,alert price: 0.5638,2023-11-09 17:54:00.754000
18,BLUEBIRDUSDT,🌊🌊🌊,2 kline,alert price: 7.218,2023-11-09 17:53:03.000000
19,MKRUSDT,💥💥💥,1 kline,alert price: 1373.7,2023-11-09 17:53:00.341000
20,ANKRUSDT,🌊🌊🌊,2 kline,alert price: 0.0265,2023-11-09 17:53:01.067000
21,SFPUSDT,💥💥💥,1 kline,alert price: 0.7441,2023-11-09 17:53:01.032000
